Name,Phone
"Maruthi Vidya Kendra, Tumkur","0816 2272175 , 2283464"
"Rashtrotthana Vidya Kendra, Dharwad","0836 5560529 , 033-2542-2472"
"Rashtrothana Vidya Kendra, Bangalore Urban","080 28465972 , 08182-240223"
"Navodaya Kishore Kendra, Bangalore Urban","080 23457629 , 28382755"
"Rashtrotthana Vidya Kendra, Bangalore Urban","08032217291"
"Rashtrotthana Vidya Kendra, Bellary","08397-238354"
"Rashtrotthana Vidya Kendra, Davanagere","08192-258255"
"Sri Vidyamanya Vidya Kendra, Bangalore Urban","08023246188"
"Kendriya Vidyalaya, Sadashivnagar","080-23602491"
"Kendriya Vidyalaya, Malleswaram","080-23341454"
"Kendriya Vidyalaya, Bidar","08482 26327 , 26327"
"Kendriya Vidyalaya, Chikkamagaluru","08263 254185 , 255199, 8762278845"
"Kendriya Vidyalaya, Belgaum","0831 562316 , 474827"
"Kendriya Vidyalaya, Yeshwanthpur","080-23371316"
"Kendriya Vidyalaya, Kolar","08153 63269 , 63281 3413860"
"Kendriya Vidyalaya, Yelahanka","080 - 28478744, 28478899"
"Kendriya Vidyalaya, RWF","080-28460979, 28460557"
"Kendriya Vidyalaya, Gulbarga","08472 222838 , 223838"
"Kendriya Vidyalaya, Dharwad","0836 2440110 , 2468165"
"Kendriya Vidyalaya, Hassan","08172 67581 , 40909"
"Kendriya Vidyalaya, Tumkur","0816 271966 , 362919"
"Kendriya Vidyalaya, Mysore","0821 473515 , 450693"
"Kendriya Vidyalaya, Sevashrama","080 3357282 , 3357282"
"Kendriya Vidyalaya, Uttara Kannada","08382 233113 , 233115 362919"
"Kendriya Vidyalaya, Bijapur","08352 270370"
"Kendriya Vidyalaya, Raichur","080 26345959 , 26644686"
"Kendriya Vidyalaya, Kodagu","08272 224200"
"Kendriya Vidyalaya, Bagalkot","08354 200704 , 26644686"
"Kendriya Vidyalaya, Shimoga","08182 295700 , 09241743252"
"Kendriya Vidyalaya, Koppal","08539 230006 , 09448435109"
"Kendriya Vidyalaya, Krishnarajapuram","080-25616000, 22871498"
"Loyola Kendriya Vidyalaya, Uttara Kannada","08301-222459"
"Kendriya Vidyalaya, Davanagere","08192 297111"
"Mahesh Memorial Kendriyala Vidyashala, Bangalore Urban","23457339"
"National Public School, Kengeri","+91 080 28488856 / 57"
"Kle Society's School, Bangalore Urban","08022730704"
"Kensuri School, Bangalore Urban","080 23533528 , 23533528"
"Kne Public School, Bangalore Urban","080 080-25262783 , 28562544"
"KLE Mahadevappanna Munavalli School, Belgaum","08332-229504"
"National Public School, Koramangala","080 - 25705171, 25705172"
"Kroot Memorial School, Bengaluru","080-27900192, 080-27932993"
"Sri Kumaran Public School, Bengaluru","080-22538105, 080-65839370"
"Lake Montfort School, Bangalore Urban","080 8472666 , 08134-251795"
"Kuvempu Vidyaniketan, Chikmagalur","0862-224284, 0862-224285"
"Lakeview Public School, Bangalore Urban","080 65600736"
"Sri Lakshmi Venkateshwara Public School, Mysore","0821-2340004"
"Presidency School, Nandini Layout","080 – 23493291 / 23496742"
"Sri Lakshmi Public School, Bangalore Urban","08284 08022729446 , 28562544"
"Mysore West Lions Sevaniketan School, Mysore","0821 511254 , 511638"
"Mount Litera Zee School, Mysore","0821 2971010"
"Mount Litera Zee School, Bangalore Urban","08065468741"
"SamataLok Shikshan Samiti, Gulbarga","08472 273069"
"Martin Luther Public School, Bangalore Urban","01498 08026729030 , 01462-225545"
"Lorven Public School, Bengaluru","080-2783370, 080-7835431"
"M.S.V Public School, Bangalore Urban","08027628797 , 09731388288"
"R. M. Shah Public School, Bijapur","08359-225114"
"S. S. M. Public School, Bengaluru","080-28378130"
"Mahabodhi School, Mysore","0821 2341603 , 2758565"
"Mahajana Public School, Mysore","0821 2412524 , 27189357"
"SMT Pushpa Shamanur Mahalingappa Residential School, Davanagere","06344 08192-264696 , 261345"
"Mahalingpur Public School, Bagalkot","08350-203333"
"Maharishi Public School, Mysore","0821 484949 , 483492"
"Maharishi Vidya Mandir, Chikkamagaluru","08262 224063 , 602322"
"Mahatma Vidyalaya, Bengaluru",""
"Mahila Seva Samaja, Bangalore Urban","08026673391 , 2758565"
"Maitry Vidya Niketan, Bangalore Urban","080 3211364 , 6637959"
"Malanadu Vidya Samasthe (r), Chikkamagaluru","01262 08261691949 , 9416338657"
"Manasa Vidyalaya, Chamarajanagar","9740662455"
"Manasarowar Pushkarini Vidyashrama, Mysore","0821 2512665 , 410578 2513200"
"Sri Sri Ravishankar Vidya Mandir, Udupi","08258-280606"
"Sri Sri Ravishanakr Vidya Mandir, Dakshina Kannada","09343356548"
"Vidya Mandir School, Gulbarga","01262 08441 -276153, 206070 , 09448830433"
"Sharda Vidya Mandira, Bangalore Urban","080 28451608"
"Mangalore One School, Dakshina Kannada","997258100"
"The Manik Public School, Bidar","08483 203257 , 70061 270061"
"Manipal School, Dakshina Kannada","08244252305"
"Manipal Sharada Public School, Mysore","01262 0821-2903031 , 09611423554"
"Vagdevi Vilas School, Marathahalli","080-6560 5850 / 2849 5850 / 2849 5851"
"Maruthi Vidyalaya, Bengaluru","080-25603711, 080-25603721"
"Maruthi Public School, Tumkur","0816 2200988 , 2200050 564016526"
"Shree Maruthi Residential School., Uttara Kannada","08387-268544"
"St. Mary's Public School, Bangalore Urban","+91 80 2220 2854"
"St. Marys School, Tumkur","080 08162283520 , 28562544"
"Maxwell Public School, Bengaluru","080-25450822, 080-25452859"
"Sharath Memorial School, Bangalore Rural","080-27274758"
"Milind Public School, Bangalore Urban","080 23287943 , 215560"
"Rashtriya Military School, Bangalore Urban","080 25554972 , 08025573500"
"Rashtriya Military School, Belgaum","0831 2407530 , 2407527"
"New Millennium School, Bengaluru","080-65989755, 080-28445812"
"Shri Shankaraling Model School, Belgaum","09449201632"
"OM National Public School, Haveri","08373260590 , 2758565"
"National Public School, Yelahanka","+91 80 2846 2222"
"Prakruti National School, Udupi","08258266137"
"National Public School, Yeshwanthpur","+91 80 23571220 / 23571221/ 23577220"
"Sree Natraja Public School, Mysore","0821 2435450 , 09893085038"
"Navaprajna Public School, Bangalore Urban","080 - 28524406 , 09731388288"
"Nazareth School, Chikmagalur","08263-216226"
"Nazareth School, Bengaluru","09242641178"
"Nehru Smarka Vidyalaya, Bangalore Urban","080 26649311 , 26634130 2283464"
"Nethaji Public School, Hassan","08172 260918 , 08172-269068"
"New Shams School, Uttara Kannada","9296200448, 9731751287"
"Vidya Niketan School, Bengaluru","080-23620454, 080-23531340"
"Shanti Niketan Public School, Bellary","08394-265887"
"Sri Vidya Niketan Public School, Koppal","08533-276688, 276788"
"Sharda Vidya Niketan Public School, Bangalore Urban","080 5771422 , 9424960913"
"Sri Sai Shiksha Niketan School, Tumkur","0816-2255666"
"Sharada Vidya Nikethan Public School, Dakshina Kannada","0824-2280330"
"Sri Sharada Vidya Niketana, Bangalore Urban","080 26664619"
"Sri Nirvanaswamy Public School, Bangalore Urban","080 - 27504494"
"St. Nobert School, Chikkamagaluru","08284 08265 223375, 223475 , 28562544"
"Nishara Public School, Dakshina Kannada","9845042360"
"Novle School, Kolar","08155 289354 , 0821-2411004"
"Outreach School, Bengaluru","080-41506103, 080-41633655"
"The Orchids Public School, Mysore","0821 2518697"
"The Oxford Senior Secondary School, Bangalore Urban","080 30410512 , 6552501 08028436936"
"Oxford Public School, Bengaluru","09945622240"
"Royal Palace School, Bagalkot","08353 224165,224164 , 8050373172"
"St. Vincent Pallotti School, Bengaluru","080-25603768, 080-49535226"
"Patel Public School, Bengaluru","080-25450466"
"Shakuntala Patil Residential School, Bidar","0483 270377"
"Sri Veerendra Patil Public School, Gulbarga","08475 273203 , 28562544"
"St.paul's School, Bangalore Urban","08023287415"
"Peace Public School, Dakshina Kannada","08242469796"
"Vasavi Vidya Peetha, Bangalore Rural","080-7745910"
"St. Peter's School, Bengaluru","080-65688671, 080-65688671"
"Phoenix Public Residential School, Belgaum","0831-4203021"
"Police Public School, Mysore","080 23433341 , 08212459900"
"Poornachandra Public School, Hassan","08176255088"
"Poorna Smrithi Public School, Bangalore Urban","080 23540854 , 84322"
"Pragathi... The School, Bangalore Urban","64501902"
"Prasanna Residential School, Dakshina Kannada","0480 08256236808 , 871689"
"Prem Seva Vidyalaya, Kolar","08152-210487, 08152-291164"
"Prerana Public School, Bijapur","080 08352261260 , 6637959"
"Presentation Public School, Mysore","08284 0821 3208099 , 28562544"
"The Presidency Public School, Tumkur","08135-277961, 08135-235366"
"Presidency School, Dakshina Kannada","0824-2272405"
"Presidency School, Singanayakanahalli","080 - 30932100 / 30932101"
"Prestige Primary School, Dakshina Kannada","08242415485"
"St. Thomas Public School, Bengaluru","080-25282890"
"Pristine Public School, Bangalore Urban","080 25219961 , 265077"
"Vidyaniketan Public School, Udupi","0820-2552253, 0820-2579216"
"Sri Vani Public School, Bengaluru","080-23322239, 080-23328801"
"Rashtreeya Vidyalaya Public School, Bengaluru","080-26569588"
"Vidyodaya Public School, Udupi","0820-2531021, 0820-252055"
"Vidyanidhi Public School, Chikkaballapur","08155-285444, 08155-286685"
"Seshadripuram Public School, Bengaluru","080-22955376, 080-22955384"
"The Regency Public School, Bengaluru","080-23642370, 080-64502511"
"Sapthagiri Public School, Koppal","08533-271113"
"Vijayashree Public School, Bengaluru","080-28399899"
"Santhome Public School, Mandya","08232-219124, 08232-220200"
"Vinayaka Public School, Bengaluru","080-28478544, 080-32484050"
"Triveni Public School, Bengaluru","080-23721148, 080-28397648"
"Rainbow Residential Public School, Haveri","08453005046, 08453005045"
"Vidyanjali Public School, Uttara Kannada","08385-222207"
"Vidyaniketan Public School, Bangalore Urban","080 3211364 , 6637959"
"Sri Siddharoodh Public School, Bidar","08482 235012 , 9886945919"
"Shree Ram Public School, Bangalore Urban","080 55386480"
"S R Public School, Udupi","07109 282592 , 0431-2434552"
"Shanthiniketan Public School, Bangalore Urban","08284 080-7270363 , 28562544"
"Supreme Public School, Mysore","0354 08212546190 , 2344548"
"Sri Sharada Public School, Kolar","08284 08150-213596 , 28562544, 3262499"
"Sri Sanjeev Public School, Raichur","08284 08537 258222 , 28562544"
"Sharada Public School, Bijapur","01262 08352-208089 , 9416338657"
"Whitefield Public School, Bangalore Urban","01262 080266717139 , 9416338657"
"Sri Rajarajeshwari Public School, Tumkur","0141 2785487"
"Shantiniketan Public School, Belgaum","08336223551"
"Srikari Public School, Bellary","08394-320491"
"Talent Public School, Mysore","08222-250030"
"Sri Rajarajeshwari Public School, Bangalore Urban","9844600781"
"Siddartha Public School, Bangalore Urban","08042042509"
"Sjsbv Trust Public School, Bidar","9242622212"
"SJBSS Public School, Bangalore Rural","08023 322455, 329634"
"Sharada Vidyalaya Public School, Bengaluru","080-32543101, 080-23724211"
"Vidya Soudha Public School, Bengaluru","918028393344, 08028391219"
"Shri Vivekananda Public School, Hassan","9481543795, 9964830044"
"Radhakrishna Public School, Shimoga","08183-236228"
"Pupil Tree School, Bellary","08392-651433, 288003"
"Rukmini Pusalkar Vidyalaya, Shimoga","08184 - 267207"
"Sri R.V. School, Kolar","08152-222971"
"Sri Rajeshwari Vidayaniketan, Gadag","08372 89057 , 89457 89157"
"Radcliffe School, Bangalore Urban","080-40969219"
"Sree Rama Vidyalaya, Bengaluru","080-64501589, 080-64501588"
"Sri Rama Vidyalaya, Bangalore Urban","080 3637720 , 044-24531454"
"Sharada Residential School, Udupi","0820-2523129, 0820-2534991"
"Sjm Residential School, Chitradurga","0491 08194-220044 , 644862"
"St.thomas Residential School, Udupi","080 08254-251444 , 020-25511001"
"Sandur Residential School, Bellary","08395-260246, 08395-260196"
"Rishi Sanskruti Vidya, Bangalore Urban","080 7571325 , 04602"
"Sahyadri School, Shimoga","08181-228810"
"T V S School, Tumkur","0816 280531 , 280525"
"Sainik School, Kodagu","08276 278961"
"Sainik School, Bijapur","08352 51338 , 51301"
"Vokkaligara Sangha School, Chikkamagaluru","080-08263-221573, 28562544"
"The Valley School, Bangalore Rural","080-28435240, 080-28435241"
"Twinklers School, Bengaluru","080-26646779, 080-28433129"
"St. Theresa's School, Dakshina Kannada","0824-2214278"
"Swargarani School, Bengaluru","080-28616826, 080-28616115"
"School Vivekananda, Bengaluru","9900049196, 9900049195"
