School Name,Phone,Address
"East West Public School Bangalore, Karnataka","080 - 23321270","IInd StageRajajinagar BANGALORE(Dist) Karnataka Pincode - 560010"
"Eastwest Public School Bangalore, Karnataka","080 - 23496950","M.L.Layout BANGALORE(Dist) Karnataka Pincode - 560086"
"Eben-Ezer Public School Bangalore, Karnataka","080 - 25315882","No.44 Near Railway GateHoramauv Main RoadHoramauv Post BANGALORE(Dist) Karnataka Pincode - 560043"
"Embassy Public School Bangalore, Karnataka","080 - 23580252","Magadi Main Road BANGALORE(Dist) Karnataka Pincode - 560091"
"Federal Public School Bangalore, Karnataka","080 - 66534665S","Opp KNS ENG CollegeTirumenahalliThanisandra MN RDYelahanka BANGALORE(Dist) Karnataka Pincode - 560064"
"Florence Public School Bangalore, Karnataka","3333938","No 6 P&T ColonyRabindranath Tagore Marg BANGALORE(Dist) Karnataka Pincode - 560032"
"General Thimmaiah Public School Kodagu, Karnataka","08272 - 224830","Shree Omkareshwara Temple RoadMadikeri KODAGU(Dist) Karnataka Pincode - 571201"
"Gangothri International Public School Bangalore, Karnataka","080 - 23584897","Rajivgandhi NagarVishwaneedam PostNear Sunkadakatte BANGALORE(Dist) Karnataka Pincode - 560091"
"Gnana Bhaskara Public School Bangalore, Karnataka","","Byrathi Main RoadBileshivaleDodda Gubbi PostKothanur BANGALORE(Dist) Karnataka Pincode - 560077"
"Globe Public School Bangalore, Karnataka","","Shankarappa LayoutKenchenahalliRajarajeshwari Nagar BANGALORE(Dist) Karnataka Pincode - 560098"
"Glitzy Public School Bangalore, Karnataka","080 - 26321867","Annapoorneshwari LayoutChunchughattaNEAR Raghavendra Swamy Temple BANGALORE(Dist) Karnataka Pincode - 560062"
"Golden Gleans Public School Chikballapur, Karnataka","08156 - 275277","Gouribidnur Road M.G. CHIKBALLAPUR(Dist) Karnataka Pincode - 562101"
"Good Hope Education Society Bangalore, Karnataka","080 - 23331008","Chinnappa GardenBenson Town Near Channappa Garden BANGALORE(Dist) Karnataka Pincode - 560046"
"Gnanodaya Public School Mysore, Karnataka","0821 - 4241964","#181-B 5th CrossA Block Bannimantap MYSORE(Dist) Karnataka"
"Good Shepherd Convent Bangalore, Karnataka","080 - 22210534","Brigade Road Opposite St. John's College BANGALORE(Dist) Karnataka Pincode - 560025"
"Goutham Public School Bangalore, Karnataka","080 - 23232244","#173 1St Main RoadKamla NagarBasaveswara BANGALORE(Dist) Karnataka Pincode - 560079"
"Gopalan International School Bangalore, Karnataka","080 - 40936034","Behind SAP LabsSeetharam PalyaBasavanagarHoodi BANGALORE(Dist) Karnataka Pincode - 560048"
"Green Valley Public School Bangalore, Karnataka","080 - 26320293","Chunchaghatta Main RoadKonanakunte Doddakallasandra BANGALORE(Dist) Karnataka Pincode - 560062"
"Harsha International Public School Bangalore, Karnataka","080 - 27723697","No.193/4Harsha Hospital CampusSondekoppa CircleNelamangala BANGALORE(Dist) Karnataka Pincode - 562123"
"Hal Public School Bangalore, Karnataka","080 - 25220762","76 Surendra Das RoadVimanapura Near H.A.L. Hospital BANGALORE(Dist) Karnataka Pincode - 560017"
"Hillside Public School Bangalore, Karnataka","080 - 26789283","No.254/107th Main RoadB.T.M.Layout 2nd Stage BANGALORE(Dist) Karnataka Pincode - 560076"
"Holy Saint Public School Bangalore, Karnataka","080 - 26766903","5th CrossJayanagarIndira Nagar BANGALORE(Dist) Karnataka Pincode - 560038"
"Hegde Nagar Public School Bangalore, Karnataka","","Opp To Police GroundHegde Nagar BANGALORE(Dist) Karnataka Pincode - 560045"
"Hoysala Public School Bangalore, Karnataka","080 - 23587172","SunkadakatteMagadi Road8TH Main Pipe Line RoadMagadi main Road ,vijaynagar BANGALORE(Dist) Karnataka Pincode - 560091"
"Huda Public School Mysore, Karnataka","","No 43 Rigah CampusS.S. NagarBannimantap B. Layout MYSORE(Dist) Karnataka Pincode - 570015"
"J S S Public School Bangalore, Karnataka","080 - 26717522","Banashankari 2nd Stage BANGALORE(Dist) Karnataka Pincode - 560070"
"J.S.S.Public School Bangalore, Karnataka","080 - 22970133","No.4/A Sec 614th CrossH.S.R.Layout BANGALORE(Dist) Karnataka Pincode - 560034"
"J.S.S. Public School Kolar, Karnataka","08151 - 233101","Malur KOLAR(Dist) Karnataka Pincode - 563130"
"Jain Public School Bangalore, Karnataka","08192 - 214016","No. 323 Avaregere VillageBada CrossNear Sree Veereshwara Punyashrama BANGALORE(Dist) Karnataka Pincode - 577001"
"Jalahalli Public School Bangalore, Karnataka","080 - 36748992","No 500/AM.S.R. NagarChikkamarana HalliMathikere BANGALORE(Dist) Karnataka Pincode - 560054"
"Jnana Sweekar Public School Bangalore, Karnataka","080 - 28427472","Thalaghattapura VillageKanakapura Main Road BANGALORE(Dist) Karnataka Pincode - 560062"
"Jnana Vikas Public School Bangalore, Karnataka","080 - 26851212","KothnurShree Krishnanagar8TH PhaseJ.P. Nagar BANGALORE(Dist) Karnataka Pincode - 560078"
"K.V.G. International Public School Mangalore, Karnataka","08257 - 313700","KurunjibhagSullia MANGALORE(Dist) Karnataka Pincode - 574327"
"Kanva Public School Bangalore, Karnataka","080 - 40300200","#861 Kanva Sri Sai ComplexW.O.C RoadModi Hospital RoadRajaji Nagar BANGALORE(Dist) Karnataka Pincode - 560086"
"Kanyakumari Public School Bangalore, Karnataka","","Near Dr. Ambedkar Engineering College60 Feet RoadITI Layout 2ND StageNagarbhavi BANGALORE(Dist) Karnataka Pincode - 560072"
"Karnataka National English School Dharwad, Karnataka","0836 - 2264973","GhantikeriDhavalagiriHubli DHARWAD(Dist) Karnataka Pincode - 580002"
"Khalsa Public School Bangalore, Karnataka","080 - 25534492","76 Hours Main RoadMadiwala BANGALORE(Dist) Karnataka Pincode - 560068"
"Leads Public School Mysore, Karnataka","0821 - 2470611","Raghavendra ColonySiddarthanagar MYSORE(Dist) Karnataka Pincode - 570011"
"Little Flower Public School Bangalore, Karnataka","080-26421964","Shop #1 100 Feet Ring RoadHosakerehalliBanashankari 3rd Stage BANGALORE(Dist) Karnataka Pincode - 560085"
"Little Lillies School Bangalore, Karnataka","080 - 23289859","Shop No. 912Near B.D.A.Complex80ft Ring RoadNagarabhavi BANGALORE(Dist) Karnataka"
"Lorven Public School Bangalore, Karnataka","080 - 27831666","Chandapura 84/1 Anekal Road BANGALORE(Dist) Karnataka Pincode - 560081"
"M.E.C. Public School Bangalore, Karnataka","080 - 28561501","SFS No.173&174 4TH PhaseOpp. mother dairyYelahanka New Town BANGALORE(Dist) Karnataka Pincode - 560064"
"M.E.S. Kishore Kendra Public School Bangalore, Karnataka","080 - 65348764","Malleshwaram BANGALORE(Dist) Karnataka Pincode - 560097"
"M.S.V. Public School Bangalore, Karnataka","080 - 27628797","Nelamangala RoadDoddaballapur BANGALORE(Dist) Karnataka Pincode - 561203"
"Mahajana Public School Mysore, Karnataka","0821 - 2412524","Jayalakshmipuram Main Road MYSORE(Dist) Karnataka Pincode - 570012"
"Maharshi Public School Mysore, Karnataka","0821 - 2484946","38/B II StageIndustrial SuburbVishveshwaranagar MYSORE(Dist) Karnataka Pincode - 570008"
"Manipal Sharada Public School Mysore, Karnataka","0821 - 2903031","T.P Kailasam RoadRajarajeshwari nagar MYSORE(Dist) Karnataka Pincode - 570022"
"Martin Luther Public School Bangalore, Karnataka","","15th Main RoadNagendra BlockGirinagarBanashankari 3rd Stage BANGALORE(Dist) Karnataka Pincode - 560050"
"Metro Public School Bangalore, Karnataka","080 - 25473181","3RD Block Hrbr LayoutKammanahalli BANGALORE(Dist) Karnataka Pincode - 560084"
"Milind Public School Bangalore, Karnataka","080 - 23287943","AnjananagarMagadi Main RoadViswaneedam BANGALORE(Dist) Karnataka Pincode - 560091"
"Mysore Public School Mysore, Karnataka","0821 - 2597917","H.D. Kote RoadRayanakere PostVisweswaranagar MYSORE(Dist) Karnataka Pincode - 570008"
"Mill Sid Public School Bangalore, Karnataka","080-26789283","#2/3 7th MainN.S. Palya 2nd StageBTM LayoutSrirampuram BANGALORE(Dist) Karnataka Pincode - 560021"
"Namma Montessori Public Shaale Bangalore, Karnataka","080 - 56968621","Survey No.16Bagalur RoadKannur Post BANGALORE(Dist) Karnataka Pincode - 5621149"
"National Montessori Public School Bangalore, Karnataka","080 - 25280611","12A MainHAL II StageIndiranagar BANGALORE(Dist) Karnataka Pincode - 560038"
"National Hill View Montessori Public School Bangalore, Karnataka","080 - 56680067","Ideal Home TownshipRajarajeshwarinagar BANGALORE(Dist) Karnataka Pincode - 560098"
"National Public English School Bangalore, Karnataka","080 - 23350361","Purandrapur 5Th BlockW O C RoadRajaji Nagar BANGALORE(Dist) Karnataka Pincode - 560010"
"National Public High School Bangalore, Karnataka","080 - 23474421","Banadappa Garden Muthuyalaya NagarNear J.P. Parkmuthyala nagar BANGALORE(Dist) Karnataka Pincode - 560054"
"National Public School Bangalore, Karnataka","080 - 25284666","Indira Nagar100 Feet Ring Road BANGALORE(Dist) Karnataka Pincode - 560038"
"National Public School Koramangala Bangalore, Karnataka","080 - 25715171","Housing ComplexNext National Games Village80ft RoadKoramangala BANGALORE(Dist) Karnataka Pincode - 560034"
"Navjyothi Public School Bangalore, Karnataka","080 - 25661323","130/2 Horamavu RoadRamamurthy NagarDooravani Nagar BANGALORE(Dist) Karnataka Pincode - 560016"
"New Baldwin Public School Bangalore, Karnataka","080-25453799","#24 Ramamurthy NagarMain Road Banaswadi BANGALORE(Dist) Karnataka Pincode - 560043"
"Navodaya Public School Raichur, Karnataka","08532 - 240430","Manikprabhu Temple RoadRaichur RAICHUR(Dist) Karnataka Pincode - 564103"
"New Bishop Cotton Public School Bangalore, Karnataka","","No. 33/44TH Main 8TH CrossSingasandraHosur Road BANGALORE(Dist) Karnataka Pincode - 560068"
"New Cambridge Public School Bangalore, Karnataka","080 - 28462800","Yelankha New Town BANGALORE(Dist) Karnataka Pincode - 560064"
"New Horizon Public School Bangalore, Karnataka","080 - 25261735","100 feet RoadIndiranagar BANGALORE(Dist) Karnataka Pincode - 560008"
"New Indian Public School Bangalore, Karnataka","080 - 23359087","15th Cross Pipelane RoadCholara Palya BANGALORE(Dist) Karnataka Pincode - 560023"
"New Oxford Public School Bangalore, Karnataka","","No.4/1 Madavara PostGangondanahallitumkur roadnelamangala BANGALORE(Dist) Karnataka Pincode - 562123"
"New Public English School Bangalore, Karnataka","080-23351087","9th Cross 23rd MainMagadi Chord RoadVijayanagar BANGALORE(Dist) Karnataka Pincode - 560040"
"New Public High School Bangalore, Karnataka","080 - 2348089","8th Main Sharadha ColonyBasaveshwara Road BANGALORE(Dist) Karnataka Pincode - 560079"
"Omshree Public School Bangalore, Karnataka","080 - 7932142","Ssm LayoutM.V. ExtensionHoskote BANGALORE(Dist) Karnataka Pincode - 562114"
"Orchids Public School Mysore, Karnataka","0821 - 2518697","Swamin Vivekananda RoadI-BlockRamakrishna Nagar MYSORE(Dist) Karnataka Pincode - 570022"
"Oxford Senior Secondary School Bangalore, Karnataka","011 - 45546666","E-BlockVidas Puri BANGALORE(Dist) Karnataka"
"Padmavathi Public School Bangalore, Karnataka","080 - 25531857","1st Main RoadMaruthi NagarMadivala BANGALORE(Dist) Karnataka Pincode - 560068"
"Patel Pre University College Bangalore, Karnataka","080 - 65580003","Kariyammana AgraharaNear Outer Ring RoadBellandur Post BANGALORE(Dist) Karnataka Pincode - 560103"
"Patriswamy International Public School Bidar, Karnataka","0842 - 226004","Aurad BIDAR(Dist) Karnataka Pincode - 585326"
"Patel Public School Bangalore, Karnataka","080-25450466","Opp. Maharashtra Police Academy BANGALORE(Dist) Karnataka Pincode - 560033"
"Phoenix Residential Public School Belgaum, Karnataka","","NH-4 Pune Bangalore RoadHonga BELGAUM(Dist) Karnataka"
"Pragathi Public School Bangalore, Karnataka","080 - 65619955","Doddanakundi Main RoadMarathahalli BANGALORE(Dist) Karnataka Pincode - 560037"
"Police Public School Mysore, Karnataka","0821 - 2459900","Mahadevapura Main RoadOpp. Gandhinagar CemetryMahadevapura Main RoadJalapuri MYSORE(Dist) Karnataka Pincode - 570019"
"Primus Public School Bangalore, Karnataka","080 - 25741450","Post Box No. 21Chikanayakanahalli VillageOff. Sarjapur Road BANGALORE(Dist) Karnataka Pincode - 560035"
"Prince And Public School Bangalore, Karnataka","080 - 65470785","No.96MadehalliVirgonagar BANGALORE(Dist) Karnataka Pincode - 560049"
"Pristine Public School Bangalore, Karnataka","080 - 25215550","No. 3 H-ColonyIndiranagar 1st Stage BANGALORE(Dist) Karnataka Pincode - 560038"
"R.V. Public School Bangalore, Karnataka","080 - 26569588","R.V. RoadVishweshwarapuramNear Lalbahg West Gate BANGALORE(Dist) Karnataka Pincode - 560004"
"R.T. Nagar Public School Bangalore, Karnataka","080-23544979","KanakanagarR.T. Nagar Post BANGALORE(Dist) Karnataka Pincode - 560032"
"Rishi Public School Bangalore, Karnataka","080 - 2381891","Banashankari 3rd Stage BANGALORE(Dist) Karnataka Pincode - 560085"
"S.G. International Public School Bangalore, Karnataka","080 - 23497428","#CA18 Nandhini LayoutSaraswathipuram BANGALORE(Dist) Karnataka Pincode - 560096"
"S.G.M. Public School Bangalore, Karnataka","080 - 25905944","Muneshwara BlockMysore RoadAvalahalliG. E. F. Post BANGALORE(Dist) Karnataka Pincode - 560026"
"S.J.R. Kengeri Public School Bangalore, Karnataka","","Kengeri Satellite Town BANGALORE(Dist) Karnataka Pincode - 560060"
"S.V.E.I. Public School Bangalore, Karnataka","0821 - 2598133","First MainFourth StageVijayanagar BANGALORE(Dist) Karnataka Pincode - 570018"
"S.V.R. Public School Bangalore, Karnataka","080 - 41400067","SamasandrapalyaH.S.R. 2nd Sector BANGALORE(Dist) Karnataka Pincode - 560102"
"Scholars Public School Bangalore, Karnataka","080 - 23643641","4th BlockSri Nidhi LayoutDoddabommasandra BANGALORE(Dist) Karnataka Pincode - 560097"
"Scottish Public School Bangalore, Karnataka","080 - 26700276","No.6 Opp Msil Petrol Pump5TH Cross1ST Main RoadChamarajpet BANGALORE(Dist) Karnataka Pincode - 560018"
"Seshadripuram Public School Bangalore, Karnataka","080 - 22955376","Sy. No. 56 & 58 KaikondrahalliYelahanka New Town BANGALORE(Dist) Karnataka Pincode - 560064"
"Shantha Public School Mysore, Karnataka","","Near Nehru ParkUdayagiri MYSORE(Dist) Karnataka Pincode - 570019"
"Shanthiniketan Public School Bangalore, Karnataka","080 - 26689385","#58III CrossMico layoutBTM II stage BANGALORE(Dist) Karnataka Pincode - 560076"
"Sharada Vidyanikethana Public School Mangalore, Karnataka","0824 - 2280330","Devi NagaraTalapady MANGALORE(Dist) Karnataka Pincode - 575024"
"Sharanabasaveshwar Public School Gulbarga, Karnataka","08472 - 420738","-"
"Sherwood Public School Bangalore, Karnataka","080 - 22238164","New # 30/3-2Adugodi BANGALORE(Dist) Karnataka Pincode - 560030"
"Shree Chaithanya Public School Bangalore, Karnataka","","BidharaguppeHhobliAnekal TalukAttibele BANGALORE(Dist) Karnataka Pincode - 562107"
"Shree Ram Public School Bangalore, Karnataka","080 - 55386480","ChikkabidarakalluNagasandra Post BANGALORE(Dist) Karnataka Pincode - 560073"
"Shreshta Public School Mathikare Bangalore, Karnataka","","M.E.S. RoadBahabalinagarMathikere BANGALORE(Dist) Karnataka Pincode - 560054"
"Shri Guru Harikrishan Public School Bangalore, Karnataka","080 - 25551301","Gurudwara ComplexKensington RoadUlsoor BANGALORE(Dist) Karnataka Pincode - 560008"
"Shrine Public School Bangalore, Karnataka","080 - 28436636","565 BDA LayoutAmruthnagar Main RoadAnjanapuraDoddakallasandra BANGALORE(Dist) Karnataka Pincode - 560062"
"Siddaganga Public School Bangalore, Karnataka","080 - 23397600","1st StageChandra Layout BANGALORE(Dist) Karnataka Pincode - 560040"
"Siddhartha Public School Bangalore, Karnataka","080 - 23336093","#80 Feet Road1st CrossChowdaiah BlockR.T. Nagar BANGALORE(Dist) Karnataka Pincode - 560032"
"Smt. Drakshayani Kalyanshettar Public School Dharwad, Karnataka","","Shakti ColonyNear AdhyapaknagarVidya NagarHubli DHARWAD(Dist) Karnataka Pincode - 580031"
"Silicon City Public School Bangalore, Karnataka","080 - 25219961","No.3/1Masjid E Unmul Hassain ComplexHousing Colony1st Stage Indiranagar BANGALORE(Dist) Karnataka Pincode - 560038"
"Sri B.M. Patil Public School Bijapur, Karnataka","08352 - 262770","Sr. No 142Butanal VillegeSholpur Road BIJAPUR(Dist) Karnataka Pincode - 586103"
"Sri Girimaruthi Makkala Mandira Public School Bangalore, Karnataka","080 - 5944 080","GEF PostGajendra NagarAvalahalliMuneshwara Block BANGALORE(Dist) Karnataka Pincode - 560026"
"Sri Lakshmi International Public School Bangalore, Karnataka","080 - 22739283","No.29 Sriganghada KavalMagadi Main RoadSunkadakatte BANGALORE(Dist) Karnataka Pincode - 560091"
"Sri Kumaran Public School Bangalore, Karnataka","080-26761191","Tata Silk FarmBasavanagudi BANGALORE(Dist) Karnataka Pincode - 560004"
"Sri Sharada Public School Mysore, Karnataka","0821 - 2903031","T.P. Kailasam RoadR.T. NagarRaja Rajeshwari Nagar MYSORE(Dist) Karnataka Pincode - 570022"
"Sri Vani Public School Bangalore, Karnataka","080 - 23322239","1246 II StageRajaji Nagar BANGALORE(Dist) Karnataka Pincode - 560010"
"Srinivasa Vidya Niketan Bangalore, Karnataka","080 - 23405766","8th Cross Agrahara DasarahalliBasaveswara Nagar BANGALORE(Dist) Karnataka Pincode - 560079"
"Srushti Public School Nelamangala Bangalore, Karnataka","080 - 65355600","Near Himalaya DrugAlur RoadMakaliNelamangala BANGALORE(Dist) Karnataka Pincode - 562123"
"St. Antony's Public School Dharwad, Karnataka","0836 - 2374079","Siddeshwar ParkVidyanagarHubli DHARWAD(Dist) Karnataka Pincode - 580031"
"St. Francis De Sales Public School Bangalore, Karnataka","080 - 27831451","HebbagodiElectronics City BANGALORE(Dist) Karnataka Pincode - 560100"
"St. George Public School Bangalore, Karnataka","080 - 25437851","Near Telecom LayoutAshwath NagarThanisandra Main RoadKothanur BANGALORE(Dist) Karnataka Pincode - 560077"
"St. Joseph's Public School Bangalore, Karnataka","080 - 25653300","New # 504Banaswadi BANGALORE(Dist) Karnataka Pincode - 560043"
"St. Martins High School Bangalore, Karnataka","080 - 23101999","Magadi Road BANGALORE(Dist) Karnataka Pincode - 560023"
"St. Mary's Public School Bangalore, Karnataka","080 - 22202854","Padmanabh NagarII Stage BANGALORE(Dist) Karnataka Pincode - 560052"
"St. Philomena Public School Bangalore, Karnataka","080 - 22795725","No 118 Near Doddabyalakre Bus StopDoddabyalakereShivakote PostHesaragatta BANGALORE(Dist) Karnataka Pincode - 560089"
"St. Rocks Girls High School Bangalore, Karnataka","080 - 2555468","3st Francis Xavier Church CmpndCleveland TownFrazer Town BANGALORE(Dist) Karnataka Pincode - 560005"
"St. Stephens Public School Bangalore, Karnataka","080 - 23211813","No.8-9 Udayanagar Ullal RdManganahalliVishwa Vidyalaya BANGALORE(Dist) Karnataka Pincode - 560056"
"St. Theresa Nursery School Bangalore, Karnataka","080 - 23721148","28/29 Hesarghatta Main RoadMallasandra BANGALORE(Dist) Karnataka Pincode - 560057"
"St. Thomas Public School Bangalore, Karnataka","080 - 25282890","#32 Church RoadNew Tippasandra BANGALORE(Dist) Karnataka Pincode - 560075"
"St. Vincent Public School Bangalore, Karnataka","080 - 25282890","Babusaheb PalyaH.B.R. LayoutBanaswadi BANGALORE(Dist) Karnataka Pincode - 560043"
"St. Xaviers School Bangalore, Karnataka","080 - 65688671","BettadasanapuraBegur HobliElectronic City BANGALORE(Dist) Karnataka Pincode - 560100"
"St. Yash Public School Bangalore, Karnataka","080 - 23586884","No.6 Kempegowda NagarMagadi Main RoadByadarahalli New ExtensionViswaneedam BANGALORE(Dist) Karnataka Pincode - 560091"
"Sunshine Public School Bangalore, Karnataka","","Beside My TowersThunganagara Main RoadViswaneedam BANGALORE(Dist) Karnataka Pincode - 560091"
"Superme Public School Bangalore, Karnataka","","CA-25Dattagallilll Stage BANGALORE(Dist) Karnataka Pincode - 560022"
"Suryodaya International Public School Bangalore, Karnataka","080 - 28427407","No. 188DoddakallasandraKanakapura Main RoadUttarahalli BANGALORE(Dist) Karnataka Pincode - 560062"
"Teresa Public School Bangalore, Karnataka","080 - 26482513","Namma HotelBilekenahalli BANGALORE(Dist) Karnataka Pincode - 560068"
"The Cauvery Public School Mandya, Karnataka","","PB No. 47 MANDYA(Dist) Karnataka Pincode - 571401"
"The Frank Anthony Public School Bangalore, Karnataka","080 - 25570970","13 Cambridge RoadHAL 2nd StageUlsoor BANGALORE(Dist) Karnataka Pincode - 56008"
